Taxon	DB Object type	DB Object ID	DB Object Symbol	Inferred gene association	Gene Product Form ID	Additional genetic components	Experimental conditions	Association type	Qualifier	DOID	with - Ortholog	Modifier - assocation type	Modifier - Qualifier	Modifier - genetic	Modifier - experimental conditions	Evidence Code	genetic sex	DB:Reference	Date	Assigned By
taxon:559292	gene	SGD:S000000037	CYC3	CYC3				is_implicated_in		DOID:10629	HGNC:4837					IMP,ISS		PMID:11827457	20170412	SGD
taxon:559292	gene	SGD:S000000037	CYC3	CYC3				is_implicated_in		DOID:10629	HGNC:4837					IMP,ISS		PMID:17033964	20170412	SGD
taxon:559292	gene	SGD:S000000116	RFT1	RFT1				is_implicated_in		DOID:0050570	HGNC:30220					IMP,ISS		PMID:18313027	20170412	SGD
taxon:559292	gene	SGD:S000000116	RFT1	RFT1				is_implicated_in		DOID:162	HGNC:18276					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000000126	PET9	PET9				is_implicated_in		DOID:12558	HGNC:10990					IMP,ISS		PMID:16438935	20170412	SGD
taxon:559292	gene	SGD:S000000178	ALG3	ALG3				is_implicated_in		DOID:5212	HGNC:23056					IMP,ISS		PMID:10581255	20170412	SGD
taxon:559292	gene	SGD:S000000206	RER2	RER2				is_implicated_in		DOID:162	HGNC:20603					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000000222	GAL7	GAL7				is_implicated_in		DOID:9870	HGNC:12527					IMP,ISS		PMID:10799308	20170412	SGD
taxon:559292	gene	SGD:S000000223	GAL10	GAL10				is_implicated_in		DOID:9870	HGNC:4116					IMP,ISS		PMID:18188677	20170412	SGD
taxon:559292	gene	SGD:S000000223	GAL10	GAL10				is_implicated_in		DOID:9870	HGNC:4116					IMP,ISS		PMID:22613355	20170412	SGD
taxon:559292	gene	SGD:S000000233	CDS1	CDS1				is_implicated_in		DOID:162	HGNC:1801					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000000265	TRM7	TRM7				is_implicated_in		DOID:0050776	HGNC:13254					IMP,ISS		PMID:25404562	20170412	SGD
taxon:559292	gene	SGD:S000000265	TRM7	TRM7				is_implicated_in		DOID:0050776	HGNC:13254					IMP,ISS		PMID:26310293	20170412	SGD
taxon:559292	gene	SGD:S000000313	CMD1	CMD1				is_implicated_in		DOID:162	HGNC:1442					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000000313	CMD1	CMD1				is_implicated_in		DOID:162	HGNC:1445					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000000313	CMD1	CMD1				is_implicated_in		DOID:162	HGNC:1449					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000000314	ALG1	ALG1				is_implicated_in		DOID:0050570	HGNC:18294					IMP,ISS		PMID:14709599	20170412	SGD
taxon:559292	gene	SGD:S000000314	ALG1	ALG1				is_implicated_in		DOID:0050570	HGNC:18294					IMP,ISS		PMID:14973778	20170412	SGD
taxon:559292	gene	SGD:S000000314	ALG1	ALG1				is_implicated_in		DOID:0050570	HGNC:18294					IMP,ISS		PMID:22966035	20170412	SGD
taxon:559292	gene	SGD:S000000314	ALG1	ALG1				is_implicated_in		DOID:5212	HGNC:18294					IMP,ISS		PMID:24157261	20170412	SGD
taxon:559292	gene	SGD:S000000325	GRS1	GRS1				is_implicated_in		DOID:0110164	HGNC:4162					IMP,ISS		PMID:24743154	20170412	SGD
taxon:559292	gene	SGD:S000000331	VMA2	VMA2				is_implicated_in		DOID:14219	HGNC:853					IMP,ISS		PMID:18368028	20170412	SGD
taxon:559292	gene	SGD:S000000331	VMA2	VMA2				is_implicated_in		DOID:14219	HGNC:853					IMP,ISS		PMID:25164082	20170412	SGD
taxon:559292	gene	SGD:S000000344	IRA1	IRA1				is_implicated_in		DOID:8712	HGNC:7765					IMP,ISS		PMID:2121369	20170412	SGD
taxon:559292	gene	SGD:S000000344	IRA1	IRA1				is_implicated_in		DOID:8712	HGNC:7765					IMP,ISS		PMID:2121371	20170412	SGD
taxon:559292	gene	SGD:S000000344	IRA1	IRA1				is_implicated_in		DOID:8712	HGNC:17397					IMP,ISS		PMID:8264648	20170412	SGD
taxon:559292	gene	SGD:S000000364	CDC28	CDC28				is_implicated_in		DOID:162	HGNC:1722					IMP,ISS		PMID:25541464	20170412	SGD
taxon:559292	gene	SGD:S000000364	CDC28	CDC28				is_implicated_in		DOID:162	HGNC:1771					IMP,ISS		PMID:25541464	20170412	SGD
taxon:559292	gene	SGD:S000000364	CDC28	CDC28				is_implicated_in		DOID:162	HGNC:1722					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000000364	CDC28	CDC28				is_implicated_in		DOID:162	HGNC:1771					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000000391	GDT1	GDT1				is_implicated_in		DOID:0050571	HGNC:30760					IMP,ISS		PMID:23569283	20170412	SGD
taxon:559292	gene	SGD:S000000456	DUT1	DUT1				is_implicated_in		DOID:162	HGNC:3078					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000000458	TRS20	TRS20				is_implicated_in		DOID:14789	HGNC:23068					IMP,ISS		PMID:14597397	20170412	SGD
taxon:559292	gene	SGD:S000000458	TRS20	TRS20				is_implicated_in		DOID:14789	HGNC:26432					IMP,ISS		PMID:14597397	20170412	SGD
taxon:559292	gene	SGD:S000000605	PGK1	PGK1				is_implicated_in		DOID:162	HGNC:8896					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000000605	PGK1	PGK1				is_implicated_in		DOID:162	HGNC:8898					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000000671	ERS1	ERS1				is_implicated_in		DOID:1064	HGNC:2518					IMP,ISS		PMID:15885099	20170412	SGD
taxon:559292	gene	SGD:S000002173	TSC13	TSC13				is_implicated_in		DOID:0050889	HGNC:4551					IMP,ISS		PMID:24220030	20170412	SGD
taxon:559292	gene	SGD:S000002191	SLM3	SLM3				is_implicated_in		DOID:310	HGNC:25481					IMP,ISS		PMID:15509579	20170412	SGD
taxon:559292	gene	SGD:S000002200	SIR2	SIR2				is_implicated_in		DOID:14330	HGNC:14929					IMP,ISS		PMID:24349441	20170412	SGD
taxon:559292	gene	SGD:S000002200	SIR2	SIR2				is_implicated_in		DOID:10652	HGNC:14929					IMP,ISS		PMID:24349441	20170412	SGD
taxon:559292	gene	SGD:S000002200	SIR2	SIR2				is_implicated_in		DOID:9351	HGNC:14929					IMP,ISS		PMID:24349441	20170412	SGD
taxon:559292	gene	SGD:S000002200	SIR2	SIR2				is_implicated_in		DOID:10283	HGNC:14929					IMP,ISS		PMID:24349441	20170412	SGD
taxon:559292	gene	SGD:S000002203	FAD1	FAD1				is_implicated_in		DOID:162	HGNC:24671					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000002204	NPC2	NPC2				is_implicated_in		DOID:14504	HGNC:14537					IMP,ISS		PMID:16278452	20170412	SGD
taxon:559292	gene	SGD:S000002222	UBC9	UBC9				is_implicated_in		DOID:162	HGNC:12485					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000002278	YFH1	YFH1				is_implicated_in		DOID:12705	HGNC:3951					IMP,ISS		PMID:11030757	20170412	SGD
taxon:559292	gene	SGD:S000002278	YFH1	YFH1				is_implicated_in		DOID:2351	HGNC:3999					IMP,ISS		PMID:15130665	20170412	SGD
taxon:559292	gene	SGD:S000002278	YFH1	YFH1				is_implicated_in		DOID:12705	HGNC:3951					IMP,ISS		PMID:15282205	20170412	SGD
taxon:559292	gene	SGD:S000002278	YFH1	YFH1				is_implicated_in		DOID:162	HGNC:3951					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000002278	YFH1	YFH1				is_implicated_in		DOID:12705	HGNC:3951					IMP,ISS		PMID:9241271	20170412	SGD
taxon:559292	gene	SGD:S000002283	HNT1	HNT1				is_implicated_in		DOID:0050526	HGNC:4912					IMP,ISS		PMID:22961002	20170412	SGD
taxon:559292	gene	SGD:S000002284	CDC48	CDC48				is_implicated_in		DOID:0050881	HGNC:12666					IMP,ISS		PMID:22728077	20170412	SGD
taxon:559292	gene	SGD:S000002306	RPN5	RPN5				is_implicated_in		DOID:162	HGNC:9557					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000002323	CDC9	CDC9				is_implicated_in		DOID:162	HGNC:6598					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000002352	NUS1	NUS1				is_implicated_in		DOID:5212	HGNC:21042					IMP,ISS		PMID:25066056	20170412	SGD
taxon:559292	gene	SGD:S000002364	HEM3	HEM3				is_implicated_in		DOID:162	HGNC:4982					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000002457	TPI1	TPI1				is_implicated_in		DOID:0050884	HGNC:12009					IMP,ISS		PMID:24598263	20170412	SGD
taxon:559292	gene	SGD:S000002457	TPI1	TPI1				is_implicated_in		DOID:162	HGNC:12009					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000002493	SSS1	SSS1				is_implicated_in		DOID:162	HGNC:18277					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000002536	SAC6	SAC6				is_implicated_in		DOID:12858	HGNC:6528					IMP,ISS		PMID:16115810	20170412	SGD
taxon:559292	gene	SGD:S000002536	SAC6	SAC6				is_implicated_in		DOID:12858	HGNC:9091					IMP,ISS		PMID:16115810	20170412	SGD
taxon:559292	gene	SGD:S000002616	MSS4	MSS4				is_implicated_in		DOID:162	HGNC:8994					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000002616	MSS4	MSS4				is_implicated_in		DOID:162	HGNC:8995					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000002644	FMN1	FMN1				is_implicated_in		DOID:162	HGNC:30324					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000002678	CCC2	CCC2				is_implicated_in		DOID:1838	HGNC:869					IMP,ISS		PMID:11373292	20170412	SGD
taxon:559292	gene	SGD:S000002678	CCC2	CCC2				is_implicated_in		DOID:1838	HGNC:869					IMP,ISS		PMID:12572677	20170412	SGD
taxon:559292	gene	SGD:S000002678	CCC2	CCC2				is_implicated_in		DOID:893	HGNC:870					IMP,ISS		PMID:14962673	20170412	SGD
taxon:559292	gene	SGD:S000002678	CCC2	CCC2				is_implicated_in		DOID:893	HGNC:870					IMP,ISS		PMID:15963506	20170412	SGD
taxon:559292	gene	SGD:S000002678	CCC2	CCC2				is_implicated_in		DOID:893	HGNC:870					IMP,ISS		PMID:15963506	20170412	SGD
taxon:559292	gene	SGD:S000002678	CCC2	CCC2				is_implicated_in		DOID:1838	HGNC:869					IMP,ISS		PMID:18752978	20170412	SGD
taxon:559292	gene	SGD:S000002678	CCC2	CCC2				is_implicated_in		DOID:12377	HGNC:869					IMP,ISS		PMID:20170900	20170412	SGD
taxon:559292	gene	SGD:S000002678	CCC2	CCC2				is_implicated_in		DOID:893	HGNC:870					IMP,ISS		PMID:26004889	20170412	SGD
taxon:559292	gene	SGD:S000002678	CCC2	CCC2				is_implicated_in		DOID:893	HGNC:870					IMP,ISS		PMID:9261163	20170412	SGD
taxon:559292	gene	SGD:S000002678	CCC2	CCC2				is_implicated_in		DOID:1838	HGNC:869					IMP,ISS		PMID:9452509	20170412	SGD
taxon:559292	gene	SGD:S000002782	PHO92	PHO92				is_implicated_in		DOID:0014667	HGNC:31675					IMP,ISS		PMID:24206186	20170412	SGD
taxon:559292	gene	SGD:S000002783	BCS1	BCS1				is_implicated_in		DOID:0080111	HGNC:1020					IMP,ISS		PMID:17403714	20170412	SGD
taxon:559292	gene	SGD:S000002783	BCS1	BCS1				is_implicated_in		DOID:0080111	HGNC:1020					IMP,ISS		PMID:20472482	20170412	SGD
taxon:559292	gene	SGD:S000002812	RPB7	RPB7				is_implicated_in		DOID:162	HGNC:9194					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000002827	RAD30	RAD30				is_implicated_in		DOID:0050427	HGNC:9181					IMP,ISS		PMID:11743006	20170412	SGD
taxon:559292	gene	SGD:S000002862	GUK1	GUK1				is_implicated_in		DOID:162	HGNC:4693					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000002918	SMT3	SMT3				is_implicated_in		DOID:162	HGNC:12502					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000002927	FPR2	FPR2				is_implicated_in		DOID:12858	HGNC:3718					IMP,ISS		PMID:14657499	20170412	SGD
taxon:559292	gene	SGD:S000000737	GLC3	GLC3				is_implicated_in		DOID:2750	HGNC:4180					IMP,ISS		PMID:8463281	20170412	SGD
taxon:559292	gene	SGD:S000000752	SNU13	SNU13				is_implicated_in		DOID:162	HGNC:7819					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000000784	PCM1	PCM1				is_implicated_in		DOID:162	HGNC:8907					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000000788	NPR2	NPR2				is_implicated_in		DOID:162	HGNC:18423					IMP,ISS		PMID:23716719	20170412	SGD
taxon:559292	gene	SGD:S000000819	AFG3	AFG3				is_implicated_in		DOID:2476	HGNC:315					IMP,ISS		PMID:14623864	20170412	SGD
taxon:559292	gene	SGD:S000000819	AFG3	AFG3				is_implicated_in		DOID:2476	HGNC:315					IMP,ISS		PMID:14623864	20170412	SGD
taxon:559292	gene	SGD:S000000819	AFG3	AFG3				is_implicated_in		DOID:2476	HGNC:11237					IMP,ISS		PMID:14623864	20170412	SGD
taxon:559292	gene	SGD:S000000819	AFG3	AFG3				is_implicated_in		DOID:0050977	HGNC:315					IMP,ISS		PMID:20208537	20170412	SGD
taxon:559292	gene	SGD:S000000827	GCD11	GCD11				is_implicated_in		DOID:10579	HGNC:3267					IMP,ISS		PMID:23335982	20170412	SGD
taxon:559292	gene	SGD:S000000855	PIC2	PIC2				is_implicated_in		DOID:700	HGNC:10989					IMP,ISS		PMID:17273968	20170412	SGD
taxon:559292	gene	SGD:S000000896	PUP3	PUP3				is_implicated_in		DOID:162	HGNC:9540					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000000914	LSM4	LSM4				is_implicated_in		DOID:162	HGNC:17259					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000000935	GLC7	GLC7				is_implicated_in		DOID:162	HGNC:9281					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000000935	GLC7	GLC7				is_implicated_in		DOID:162	HGNC:9283					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000000938	GDI1	GDI1				is_implicated_in		DOID:162	HGNC:4227					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000000970	CCA1	CCA1				is_implicated_in		DOID:8955	HGNC:17341					IMP,ISS		PMID:25193871	20170412	SGD
taxon:559292	gene	SGD:S000000973	RAD3	RAD3				is_implicated_in		DOID:2960	HGNC:3434					IMP,ISS		PMID:7629061	20170412	SGD
taxon:559292	gene	SGD:S000000973	RAD3	RAD3				is_implicated_in		DOID:0050427	HGNC:3434					IMP,ISS		PMID:7629061	20170412	SGD
taxon:559292	gene	SGD:S000000973	RAD3	RAD3				is_implicated_in		DOID:0050427	HGNC:3434					IMP,ISS		PMID:8413672	20170412	SGD
taxon:559292	gene	SGD:S000001877	GNA1	GNA1				is_implicated_in		DOID:162	HGNC:19980					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000001876	LPD1	LPD1				is_implicated_in		DOID:0014667	HGNC:2898					IMP,ISS		PMID:21930696	20170412	SGD
taxon:559292	gene	SGD:S000001864	AGX1	AGX1				is_implicated_in		DOID:2977	HGNC:341					IMP,ISS		PMID:18782763	20170412	SGD
taxon:559292	gene	SGD:S000001864	AGX1	AGX1				is_implicated_in		DOID:2977	HGNC:341					IMP,ISS		PMID:18782763	20170412	SGD
taxon:559292	gene	SGD:S000001906	UBP6	UBP6				is_implicated_in		DOID:649	HGNC:12612					IMP,ISS		PMID:14559899	20170412	SGD
taxon:559292	gene	SGD:S000002969	ERG26	ERG26				is_implicated_in		DOID:162	HGNC:13398					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000002974	PMC1	PMC1				is_implicated_in		DOID:0050429	HGNC:13211					IMP,ISS		PMID:15610533	20170412	SGD
taxon:559292	gene	SGD:S000002998	RPL30	RPL30				is_implicated_in		DOID:162	HGNC:10333					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000003016	RPT6	RPT6				is_implicated_in		DOID:162	HGNC:9552					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000003034	SGF73	SGF73				is_implicated_in		DOID:0050958	HGNC:10560					IMP,ISS		PMID:15932941	20170412	SGD
taxon:559292	gene	SGD:S000003048	MPC1	MPC1				is_implicated_in		DOID:700	HGNC:21606					IMP,ISS		PMID:22628558	20170412	SGD
taxon:559292	gene	SGD:S000003087	COQ8	COQ8				is_implicated_in		DOID:0050730	HGNC:16812					IMP,ISS		PMID:18319072	20170412	SGD
taxon:559292	gene	SGD:S000003110	GPI10	GPI10				is_implicated_in		DOID:10112	HGNC:8959					IMP,ISS		PMID:10954751	20170412	SGD
taxon:559292	gene	SGD:S000003135	PMR1	PMR1				is_implicated_in		DOID:0050429	HGNC:13211					IMP,ISS		PMID:11741891	20170412	SGD
taxon:559292	gene	SGD:S000003135	PMR1	PMR1				is_implicated_in		DOID:0050429	HGNC:13211					IMP,ISS		PMID:15811312	20170412	SGD
taxon:559292	gene	SGD:S000003205	MTO1	MTO1				is_implicated_in		DOID:0050563	HGNC:19261					IMP,ISS		PMID:12011058	20170412	SGD
taxon:559292	gene	SGD:S000003256	THG1	THG1				is_implicated_in		DOID:162	HGNC:26053					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000003261	ERV1	ERV1				is_implicated_in		DOID:898	HGNC:4236					IMP,ISS		PMID:8575761	20170412	SGD
taxon:559292	gene	SGD:S000003307	PRP38	PRP38				is_implicated_in		DOID:162	HGNC:25512					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000003326	VAS1	VAS1				is_implicated_in		DOID:700	HGNC:21642					IMP,ISS		PMID:25261707	20170412	SGD
taxon:559292	gene	SGD:S000003387	CYS4	CYS4				is_implicated_in		DOID:9263	HGNC:1550					IMP,ISS		PMID:22267502	20170412	SGD
taxon:559292	gene	SGD:S000003387	CYS4	CYS4				is_implicated_in		DOID:9263	HGNC:1550					IMP,ISS		PMID:8022826	20170412	SGD
taxon:559292	gene	SGD:S000003387	CYS4	CYS4				is_implicated_in		DOID:9263	HGNC:214					IMP,ISS		PMID:8528202	20170412	SGD
taxon:559292	gene	SGD:S000003407	ERG1	ERG1				is_implicated_in		DOID:162	HGNC:11279					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000003413	TIM13	TIM13				is_implicated_in		DOID:0050757	HGNC:11816					IMP,ISS		PMID:11489896	20170412	SGD
taxon:559292	gene	SGD:S000003413	TIM13	TIM13				is_implicated_in		DOID:0050757	HGNC:11816					IMP,ISS		PMID:11956200	20170412	SGD
taxon:559292	gene	SGD:S000003417	TYS1	TYS1				is_implicated_in		DOID:162	HGNC:12840					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000003472	PFK1	PFK1				is_implicated_in		DOID:2747	HGNC:8877					IMP,ISS		PMID:7825568	20170412	SGD
taxon:559292	gene	SGD:S000003487	COQ6	COQ6				is_implicated_in		DOID:1184	HGNC:20233					IMP,ISS		PMID:21540551	20170412	SGD
taxon:559292	gene	SGD:S000003487	COQ6	COQ6				is_implicated_in		DOID:3204	HGNC:20233					IMP,ISS		PMID:24763291	20170412	SGD
taxon:559292	gene	SGD:S000003499	FOL2	FOL2				is_implicated_in		DOID:543	HGNC:4193					IMP,ISS		PMID:15303002	20170412	SGD
taxon:559292	gene	SGD:S000003509	CAB4	CAB4				is_implicated_in		DOID:162	HGNC:29932					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000003512	PXR1	PXR1				is_implicated_in		DOID:162	HGNC:30046					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000001015	NPR3	NPR3				is_implicated_in		DOID:162	HGNC:18423					IMP,ISS		PMID:23716719	20170412	SGD
taxon:559292	gene	SGD:S000001055	ARD1	ARD1				is_implicated_in		DOID:0050781	HGNC:18704					IMP,ISS		PMID:24408909	20170412	SGD
taxon:559292	gene	SGD:S000001079	PUT2	PUT2				is_implicated_in		DOID:0014667	HGNC:406					IMP,ISS		PMID:8621661	20170412	SGD
taxon:559292	gene	SGD:S000001079	PUT2	PUT2				is_implicated_in		DOID:0014667	HGNC:406					IMP,ISS		PMID:9700195	20170412	SGD
taxon:559292	gene	SGD:S000001133	MSR1	MSR1				is_implicated_in		DOID:0060275	HGNC:21406					IMP,ISS		PMID:22569581	20170412	SGD
taxon:559292	gene	SGD:S000001207	DNA2	DNA2				is_implicated_in		DOID:2717	HGNC:1058					IMP,ISS		PMID:12826610	20170412	SGD
taxon:559292	gene	SGD:S000001207	DNA2	DNA2				is_implicated_in		DOID:2717	HGNC:2939					IMP,ISS		PMID:12826610	20170412	SGD
taxon:559292	gene	SGD:S000001207	DNA2	DNA2				is_implicated_in		DOID:5688	HGNC:12791					IMP,ISS		PMID:15282207	20170412	SGD
taxon:559292	gene	SGD:S000001247	MNL1	MNL1				is_implicated_in		DOID:1485	HGNC:18967					IMP,ISS		PMID:15215312	20170412	SGD
taxon:559292	gene	SGD:S000001293	ULP2	ULP2				is_implicated_in		DOID:0060318	HGNC:9113					IMP,ISS		PMID:16501610	20170412	SGD
taxon:559292	gene	SGD:S000001311	DFG10	DFG10				is_implicated_in		DOID:0050570	HGNC:25812					IMP,ISS		PMID:20637498	20170412	SGD
taxon:559292	gene	SGD:S000001340	THS1	THS1				is_implicated_in		DOID:9252	HGNC:11572					IMP,ISS		PMID:25416776	20170412	SGD
taxon:559292	gene	SGD:S000001345	CAB2	CAB2				is_implicated_in		DOID:162	HGNC:25686					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000001396	FLX1	FLX1				is_implicated_in		DOID:0060358	HGNC:29683					IMP,ISS		PMID:16165386	20170412	SGD
taxon:559292	gene	SGD:S000001406	NDC80	NDC80				is_implicated_in		DOID:162	HGNC:16909					IMP,ISS		PMID:12386167	20170412	SGD
taxon:559292	gene	SGD:S000003595	YHC3	YHC3				is_implicated_in		DOID:0050756	HGNC:2074					IMP,ISS		PMID:10749980	20170412	SGD
taxon:559292	gene	SGD:S000003595	YHC3	YHC3				is_implicated_in		DOID:0050756	HGNC:2074					IMP,ISS		PMID:14660799	20170412	SGD
taxon:559292	gene	SGD:S000003595	YHC3	YHC3				is_implicated_in		DOID:0050756	HGNC:2074					IMP,ISS		PMID:9618513	20170412	SGD
taxon:559292	gene	SGD:S000003633	PHS1	PHS1				is_implicated_in		DOID:162	HGNC:9640					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000003690	VPS35	VPS35				is_implicated_in		DOID:14330	HGNC:13487					IMP,ISS		PMID:24740878	20170412	SGD
taxon:559292	gene	SGD:S000003716	ATP12	ATP12				is_implicated_in		DOID:0050768	HGNC:18802					IMP,ISS		PMID:19933271	20170412	SGD
taxon:559292	gene	SGD:S000003766	POL31	POL31				is_implicated_in		DOID:162	HGNC:9176					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000003767	SUI2	SUI2				is_implicated_in		DOID:10579	HGNC:3265					IMP,ISS		PMID:23335982	20170412	SGD
taxon:559292	gene	SGD:S000003809	CYC1	CYC1				is_implicated_in		DOID:4195	HGNC:2579					IMP,ISS		PMID:23910460	20170412	SGD
taxon:559292	gene	SGD:S000003865	SOD1	SOD1				is_implicated_in		DOID:332	HGNC:11179					IMP,ISS		PMID:15069187	20170412	SGD
taxon:559292	gene	SGD:S000003865	SOD1	SOD1				is_implicated_in		DOID:332	HGNC:11179					IMP,ISS		PMID:15488469	20170412	SGD
taxon:559292	gene	SGD:S000003878	STE24	STE24				is_implicated_in		DOID:3911	HGNC:12877					IMP,ISS		PMID:22718200	20170412	SGD
taxon:559292	gene	SGD:S000007348	TIM8	TIM8				is_implicated_in		DOID:0050757	HGNC:11817					IMP,ISS		PMID:11489896	20170412	SGD
taxon:559292	gene	SGD:S000007348	TIM8	TIM8				is_implicated_in		DOID:0050757	HGNC:11817					IMP,ISS		PMID:11956200	20170412	SGD
taxon:559292	gene	SGD:S000003899	IML1	IML1				is_implicated_in		DOID:162	HGNC:18423					IMP,ISS		PMID:23716719	20170412	SGD
taxon:559292	gene	SGD:S000001496	ARC19	ARC19				is_implicated_in		DOID:162	HGNC:707					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000001507	URA6	URA6				is_implicated_in		DOID:162	HGNC:18170					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000001516	TTI1	TTI1				is_implicated_in		DOID:162	HGNC:29029					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000001518	UGP1	UGP1				is_implicated_in		DOID:162	HGNC:12527					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000001538	OAR1	OAR1				is_implicated_in		DOID:700	HGNC:25891					IMP,ISS		PMID:25203508	20170412	SGD
taxon:559292	gene	SGD:S000001596	RAD27	RAD27				is_implicated_in		DOID:162	HGNC:3650					IMP,ISS		PMID:18443037	20170412	SGD
taxon:559292	gene	SGD:S000001628	RPT1	RPT1				is_implicated_in		DOID:162	HGNC:9548					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000001671	PXA2	PXA2				is_implicated_in		DOID:10588	HGNC:61					IMP,ISS		PMID:21145416	20170412	SGD
taxon:559292	gene	SGD:S000001671	PXA2	PXA2				is_implicated_in		DOID:10588	HGNC:66					IMP,ISS		PMID:21145416	20170412	SGD
taxon:559292	gene	SGD:S000001672	HYM1	HYM1				is_implicated_in		DOID:162	HGNC:20292					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000001672	HYM1	HYM1				is_implicated_in		DOID:162	HGNC:20290					IMP,ISS		PMID:26354769	20170412	SGD
taxon:559292	gene	SGD:S000001717	FOX2	FOX2				is_implicated_in		DOID:3146	HGNC:5213					IMP,ISS		PMID:23308274	20170412	SGD
